GEOLABEL,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12
Euro area,7.8,7.8,7.7,7.7,7.6,7.5,7.5,7.4,7.4,7.4,7.5,7.4,7.5,7.4,7.1,7.3,7.5,8,8.4,8.6,8.6,8.3,8.1,8.1,8.2,8.1,8,8.1,8,7.8,7.6,7.5,7.4,7.3,7.2,0
European Union,7,7,6.9,6.9,6.8,6.7,6.7,6.7,6.7,6.7,6.7,6.6,6.7,6.6,6.4,6.7,6.9,7.3,7.7,7.8,7.7,7.5,7.4,7.4,7.5,7.5,7.4,7.4,7.3,7.1,6.9,6.8,6.7,6.7,6.5,0
Belgium,5.6,5.6,5.5,5.6,5.5,5.4,5.2,5.1,5.1,5.2,5.3,5.3,5.2,5,4.9,4.9,5,5.4,6,6.4,6.3,5.8,5.8,6,6.5,6.8,6.7,6.5,6.3,6.3,6.2,6.3,6.2,6,5.9,0
Bulgaria,4.9,4.8,4.6,4.2,4.1,4,4.1,4,4.1,4.2,4.3,4.3,4.4,4.2,4.5,5.8,5.9,5.6,5.3,5.3,5.3,5.4,5.4,5.6,5.9,6,5.9,5.6,5.5,5.2,5,5,4.9,4.9,5,0
Czechia,2.1,1.7,2,2.1,2.1,1.8,2.1,2,2.1,2.2,2.1,2,1.9,1.8,1.9,2.2,2.4,2.7,2.9,2.7,2.8,3.1,3,3.2,3.2,3.2,3.4,3.3,3.1,2.8,2.6,2.8,2.6,2.6,2.2,0
Denmark,5.2,5.1,5.4,5.2,5,4.7,4.7,4.9,5.2,5.2,5.1,4.9,4.9,4.8,4.8,4.9,5.6,6.1,6.5,6.3,6.1,6,5.9,6,6.1,6,5.7,5.4,5.1,4.8,4.7,4.8,5.1,5,5,0
Germany,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.1,4.1,4.1,4,3.9,3.9,3.8,3.7,3.6,3.5,3.4,3.4,3.3,3.3,3.2,0
Estonia,4.2,4.4,4.5,4.9,4.8,4.4,4.2,4.3,4.8,4.7,4.5,4.6,4.8,4.8,5,5.9,6.9,7.8,7.8,7.9,8.2,7.9,7.4,6.8,7.2,6.8,6.5,6.4,6.6,6.5,6.4,5.9,5.6,5.2,5,0
Ireland,5.1,4.9,5,5.1,5.2,5.2,5.1,5,4.9,4.7,4.8,4.8,4.9,4.9,5,4.7,5,5.6,6.7,7.2,7.2,6.4,6.2,6.2,7,7.5,7.8,7.6,6.9,6.3,5.8,5.4,5.2,5.2,5.2,5.1
Greece,18.8,18.5,17.9,17.9,17,16.8,17.3,16.8,16.9,16.9,16.5,16.3,16.4,15.7,15.8,15.8,17.2,17.6,16.6,17.3,16.6,16.4,16.2,15.6,16.2,16.1,16.8,17.3,15.9,14.9,14,13.9,13.1,13.3,13.4,0
